"Add a mobile number and verify it by SMS to sign in with a one-time code.","Add a mobile number and verify it by SMS to sign in with a one-time code."
"Apple Service ID","Apple Service ID"
"Apple Sign-In Enabled","Apple Sign-In Enabled"
"Auto-link Existing Accounts","Auto-link Existing Accounts"
"Clickatell API Key","Clickatell API Key"
"Clickatell Sender ID","Clickatell Sender ID"
"Continue with Apple","Continue with Apple"
"Continue with Facebook","Continue with Facebook"
"Default mobile country","Default mobile country"
"Email address","Email address"
"Email me a login link","Email me a login link"
"Enable SMS channel (Clickatell)","Enable SMS channel (Clickatell)"
"Enable SMS one-time-code login","Enable SMS one-time-code login"
"Enter the code","Enter the code"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Facebook Login Enabled","Facebook Login Enabled"
"Forgot Your Password?","Forgot Your Password?"
"Google Client ID","Google Client ID"
"Google Sign-In Enabled","Google Sign-In Enabled"
"Incorrect password.","Incorrect password."
"Invalid authentication token.","Invalid authentication token."
"Link Account","Link Account"
"Linked customer no longer exists.","Linked customer no longer exists."
"Mage Australia","Mage Australia"
"Max verify attempts per code","Max verify attempts per code"
"Missing customer id.","Missing customer id."
"Mobile number","Mobile number"
"Mobile number for SMS sign-in","Mobile number for SMS sign-in"
"No valid mobile (per the configured default country) was found on this customer's addresses.","No valid mobile (per the configured default country) was found on this customer's addresses."
"OAuth providers","OAuth providers"
"OTP code length","OTP code length"
"OTP expiry (minutes)","OTP expiry (minutes)"
"OTP server pepper (secret)","OTP server pepper (secret)"
"Password","Password"
"Pre-approve a verified mobile by copying it from this customer's address book?","Pre-approve a verified mobile by copying it from this customer's address book?"
"Pre-approve mobile from address","Pre-approve mobile from address"
"Pre-approve mobile from address (Social Login)","Pre-approve mobile from address (Social Login)"
"Pre-approved mobile: %s","Pre-approved mobile: %s"
"Promote failed: %s","Promote failed: %s"
"Provider verification temporarily unavailable.","Provider verification temporarily unavailable."
"Rate limit: IP window (seconds)","Rate limit: IP window (seconds)"
"Rate limit: identifier window (seconds)","Rate limit: identifier window (seconds)"
"Rate limit: max requests per IP","Rate limit: max requests per IP"
"Rate limit: max requests per identifier","Rate limit: max requests per identifier"
"Resend cooldown (seconds, anti click-spam)","Resend cooldown (seconds, anti click-spam)"
"SMS one-time-code login","SMS one-time-code login"
"SMS provider","SMS provider"
"Send code","Send code"
"Social Login","Social Login"
"Text me a code","Text me a code"
"This account is inactive.","This account is inactive."
"This account is not confirmed. Please check your email.","This account is not confirmed. Please check your email."
"Token is required.","Token is required."
"Unable to sign in. Please try another method or create an account.","Unable to sign in. Please try another method or create an account."
"Unknown provider: %s","Unknown provider: %s"
"Unsupported sign-in provider.","Unsupported sign-in provider."
"Verify and sign in","Verify and sign in"
"Verify mobile","Verify mobile"
"You can change it below - we will send a code to confirm the new number.","You can change it below - we will send a code to confirm the new number."
"Your verified mobile:","Your verified mobile:"
"or","or"
"or sign in without a password","or sign in without a password"
"verified","verified"
